#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          ([no block])                                                                     = Molten Platinum
iridium                                           ([no block])                                                                     = Molten Iridium
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          ([no block])                                                                     = Molten Signalum
lumium                                            ([no block])                                                                     = Molten Lumium
enderium                                          ([no block])                                                                     = Molten Enderium
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
concrete                                          (immersiveengineering:fluidconcrete)                                             = Liquid Concrete
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
oil                                               (immersivepetroleum:fluid_crude_oil)                                             = Oil
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
essence                                           (industrialforegoing:essence)                                                    = Essence
meat                                              (industrialforegoing:meat)                                                       = Liquid Meat
latex                                             (industrialforegoing:latex)                                                      = Latex
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
iufluidneutron                                    (industrialupgrade:fluidneutron)                                                 = Neutron
iufluidhelium                                     (industrialupgrade:fluidhelium)                                                  = Helium
iufluidbenz                                       (industrialupgrade:fluidbenz)                                                    = Gasoline
iufluiddizel                                      (industrialupgrade:fluiddizel)                                                   = Diesel
iufluidneft                                       (industrialupgrade:fluidneft)                                                    = Oil
iufluidpolyeth                                    (industrialupgrade:fluidpolyeth)                                                 = Polyethylene
iufluidpolyprop                                   (industrialupgrade:fluidpolyprop)                                                = Polypropylene
iufluidoxy                                        (industrialupgrade:fluidoxy)                                                     = Oxygen
iufluidhyd                                        (industrialupgrade:fluidhyd)                                                     = Hydrogen
xpjuice                                           ([no block])                                                                     = Liquid XP
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Etching Acid
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = Liquid Plastic
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = LPG
fuel                                              (pneumaticcraft:fluid.fuel)                                                      = Gasoline
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = Kerosene
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = Basalt Fluid
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = Tiberium Fluid
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = Aurorium Fluid
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = Prometheum Fluid
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = Duranite Fluid
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = Valyrium Fluid
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = Vibranium Fluid
karmesine_fluid                                   (taiga:molten_karmesine_fluid)                                                   = Karmesine Fluid
jauxum_fluid                                      (taiga:molten_jauxum_fluid)                                                      = Jauxum Fluid
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = Ovium Fluid
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = Terrax Fluid
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = Palladium Fluid
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = Uru Fluid
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = Osram Fluid
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = Abyssum Fluid
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = Eezo Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = Iox Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
magma_fluid                                       (taiga:molten_magma_fluid)                                                       = Magma Fluid
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = Nitronite Fluid
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = Dilithium Fluid
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
blood                                             (tconstruct:blood)                                                               = Blood
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
flux_goo                                          (thaumcraft:flux_goo)                                                            = Flux Goo
liquid_death                                      (thaumcraft:liquid_death)                                                        = Liquid Death
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Purifying Fluid
lifeessence                                       (bloodmagic:life_essence)                                                        = Life Essence
yellorium                                         (bigreactors:yellorium)                                                          = Fluid Yellorium
cyanite                                           (bigreactors:cyanite)                                                            = Fluid Cyanite
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
chromium                                          (jaopca:fluid_moltenchromium)                                                    = Molten Chromium
germanium                                         (jaopca:fluid_moltengermanium)                                                   = Molten Germanium
magnesium                                         (jaopca:fluid_moltenmagnesium)                                                   = Molten Magnesium
manganese                                         (jaopca:fluid_moltenmanganese)                                                   = Molten Manganese
mikhail                                           (jaopca:fluid_moltenmikhail)                                                     = Molten Mikhail
mithril                                           (jaopca:fluid_moltenmithril)                                                     = Molten Mithril
osmium                                            (jaopca:fluid_moltenosmium)                                                      = Molten Osmium
spinel                                            (jaopca:fluid_moltenspinel)                                                      = Molten Spinel
titanium                                          (jaopca:fluid_moltentitanium)                                                    = Molten Titanium
tungsten                                          (jaopca:fluid_moltentungsten)                                                    = Molten Tungsten
vanady                                            (jaopca:fluid_moltenvanady)                                                      = Molten Vanady
ec.internal.hydrogen                              ([no block])                                                                     = Hydrogen
ec.internal.oxygen                                ([no block])                                                                     = Oxygen
ec.internal.water                                 ([no block])                                                                     = Water Vapor
ec.internal.chlorine                              ([no block])                                                                     = Chlorine
ec.internal.sulfurdioxide                         ([no block])                                                                     = Sulfur Dioxide
ec.internal.sulfurtrioxide                        ([no block])                                                                     = Sulfur Trioxide
ec.internal.sulfuricacid                          ([no block])                                                                     = Sulfuric Acid
ec.internal.hydrogenchloride                      ([no block])                                                                     = Hydrogen Chloride
ec.internal.ethene                                ([no block])                                                                     = Ethylene
ec.internal.sodium                                ([no block])                                                                     = Sodium
ec.internal.brine                                 ([no block])                                                                     = Gaseous Brine
ec.internal.deuterium                             ([no block])                                                                     = Deuterium
ec.internal.tritium                               ([no block])                                                                     = Tritium
ec.internal.fusionfuel                            ([no block])                                                                     = D-T Fuel
ec.internal.lithium                               ([no block])                                                                     = Lithium
ec.internal.liquidosmium                          ([no block])                                                                     = Liquid Osmium
ec.internal.cleaniron                             ([no block])                                                                     = Clean Iron Slurry
ec.internal.iron                                  ([no block])                                                                     = Iron Slurry
ec.internal.cleangold                             ([no block])                                                                     = Clean Gold Slurry
ec.internal.gold                                  ([no block])                                                                     = Gold Slurry
ec.internal.cleanosmium                           ([no block])                                                                     = Clean Osmium Slurry
ec.internal.osmium                                ([no block])                                                                     = Osmium Slurry
ec.internal.cleancopper                           ([no block])                                                                     = Clean Copper Slurry
ec.internal.copper                                ([no block])                                                                     = Copper Slurry
ec.internal.cleantin                              ([no block])                                                                     = Clean Tin Slurry
ec.internal.tin                                   ([no block])                                                                     = Tin Slurry
ec.internal.cleansilver                           ([no block])                                                                     = Clean Silver Slurry
ec.internal.silver                                ([no block])                                                                     = Silver Slurry
ec.internal.cleanlead                             ([no block])                                                                     = Clean Lead Slurry
ec.internal.lead                                  ([no block])                                                                     = Lead Slurry
ec.internal.slurrycleanaluminium                  ([no block])                                                                     = Clean Aluminium Slurry
ec.internal.slurrycleanardite                     ([no block])                                                                     = Clean Ardite Slurry
ec.internal.slurrycleanchromium                   ([no block])                                                                     = Clean Chromium Slurry
ec.internal.slurrycleancobalt                     ([no block])                                                                     = Clean Cobalt Slurry
ec.internal.slurrycleangermanium                  ([no block])                                                                     = Clean Germanium Slurry
ec.internal.slurrycleaniridium                    ([no block])                                                                     = Clean Iridium Slurry
ec.internal.slurrycleanmagnesium                  ([no block])                                                                     = Clean Magnesium Slurry
ec.internal.slurrycleanmanganese                  ([no block])                                                                     = Clean Manganese Slurry
ec.internal.slurrycleanmikhail                    ([no block])                                                                     = Clean Mikhail Slurry
ec.internal.slurrycleanmithril                    ([no block])                                                                     = Clean Mithril Slurry
ec.internal.slurrycleannickel                     ([no block])                                                                     = Clean Nickel Slurry
ec.internal.slurrycleanplatinum                   ([no block])                                                                     = Clean Platinum Slurry
ec.internal.slurrycleanspinel                     ([no block])                                                                     = Clean Spinel Slurry
ec.internal.slurrycleantitanium                   ([no block])                                                                     = Clean Titanium Slurry
ec.internal.slurrycleantungsten                   ([no block])                                                                     = Clean Tungsten Slurry
ec.internal.slurrycleanuranium                    ([no block])                                                                     = Clean Uranium Slurry
ec.internal.slurrycleanvanady                     ([no block])                                                                     = Clean Vanady Slurry
ec.internal.slurrycleanyellorium                  ([no block])                                                                     = Clean Yellorium Slurry
ec.internal.slurrycleanzinc                       ([no block])                                                                     = Clean Zinc Slurry
ec.internal.slurryaluminium                       ([no block])                                                                     = Aluminium Slurry
ec.internal.slurryardite                          ([no block])                                                                     = Ardite Slurry
ec.internal.slurrychromium                        ([no block])                                                                     = Chromium Slurry
ec.internal.slurrycobalt                          ([no block])                                                                     = Cobalt Slurry
ec.internal.slurrygermanium                       ([no block])                                                                     = Germanium Slurry
ec.internal.slurryiridium                         ([no block])                                                                     = Iridium Slurry
ec.internal.slurrymagnesium                       ([no block])                                                                     = Magnesium Slurry
ec.internal.slurrymanganese                       ([no block])                                                                     = Manganese Slurry
ec.internal.slurrymikhail                         ([no block])                                                                     = Mikhail Slurry
ec.internal.slurrymithril                         ([no block])                                                                     = Mithril Slurry
ec.internal.slurrynickel                          ([no block])                                                                     = Nickel Slurry
ec.internal.slurryplatinum                        ([no block])                                                                     = Platinum Slurry
ec.internal.slurryspinel                          ([no block])                                                                     = Spinel Slurry
ec.internal.slurrytitanium                        ([no block])                                                                     = Titanium Slurry
ec.internal.slurrytungsten                        ([no block])                                                                     = Tungsten Slurry
ec.internal.slurryuranium                         ([no block])                                                                     = Uranium Slurry
ec.internal.slurryvanady                          ([no block])                                                                     = Vanady Slurry
ec.internal.slurryyellorium                       ([no block])                                                                     = Yellorium Slurry
ec.internal.slurryzinc                            ([no block])                                                                     = Zinc Slurry
